DSO_Area;Plan_Zone;Bidding_Zone;Confidence
1;0;2;1
2;0;2;1
3;9;2;1
4;0;2;1
5;0;2;1
6;0;2;1
7;0;2;1
8;0;2;1
9;9;2;1
10;0;2;2
11;11;2;1
12;11;2;1
13;7;2;2
14;0;1;1
15;0;1;1
16;11;2;1
17;0;1;1
18;0;1;1
19;0;1;1
20;0;1;1
21;7;1;1
22;0;1;1
23;11;2;1
24;7;1;1
25;1;1;1
26;1;1;1
27;1;1;1
28;0;1;1
29;0;1;1
30;1;1;1
31;1;1;1
32;1;1;1
33;7;1;1
34;0;1;1
35;0;1;1
36;7;2;2
37;0;1;1
38;0;1;1
39;0;1;1
40;12;5;1
41;11;2;1
42;7;2;2
43;0;5;1
44;7;1;1
45;6;1;1
46;6;1;1
47;6;1;1
48;6;1;1
49;0;5;1
50;0;5;1
51;7;2;1
52;6;1;1
53;6;1;1
54;0;2;1
55;6;1;1
56;12;5;1
57;1;1;1
58;6;1;1
59;6;1;1
60;7;2;1
61;6;1;1
62;7;2;1
63;6;1;1
64;0;2;1
65;12;5;1
66;6;1;1
67;12;2;1
68;7;2;2
69;12;2;1
70;6;1;1
71;7;2;2
72;12;2;1
73;7;2;1
74;13;5;1
75;0;5;1
76;6;1;1
77;6;1;1
78;13;2;2
79;12;5;1
80;6;5;1
81;4;1;1
82;6;5;1
83;13;5;1
84;0;5;1
85;6;1;1
86;0;5;1
87;0;5;1
88;4;1;1
89;0;1;1
90;0;5;1
91;13;5;1
92;13;5;1
93;0;5;1
94;4;1;1
95;13;5;1
96;0;5;1
97;6;5;2
98;0;5;1
99;13;5;1
100;6;1;2
101;4;1;1
102;0;5;1
103;13;5;1
104;14;5;1
105;0;3;2
106;0;5;2
107;0;5;2
108;0;5;1
109;4;1;1
110;4;1;1
111;0;5;1
112;14;5;1
113;0;5;1
114;4;1;1
115;14;5;1
116;4;3;1
117;0;1;1
118;4;3;2
119;15;3;1
120;15;3;1
121;15;3;1
122;14;3;1
123;4;1;1
124;16;3;1
125;15;3;1
126;16;3;1
127;15;3;1
128;15;3;1
129;0;3;1
130;15;3;1
131;15;3;1
132;15;3;1
133;0;3;1
134;0;3;1
135;0;3;1
136;0;3;1
137;0;3;1
138;16;3;1
139;0;3;1
140;15;3;1
141;17;3;1
142;15;3;1
143;16;3;1
144;0;3;1
145;0;3;1
146;15;3;1
147;16;3;1
148;0;3;1
149;0;3;2
150;17;3;2
151;0;4;1
152;18;4;1
153;18;4;1
154;18;4;1
155;18;4;1
156;18;4;1
157;18;4;1
158;18;4;1
159;19;4;1
160;19;4;1
161;0;4;1
162;19;4;1
163;19;4;1
164;19;4;1
165;19;4;1
166;19;4;1
167;19;4;1
168;0;4;1
169;20;4;1
170;20;4;1
171;20;4;1
172;20;4;1
173;20;4;1
174;0;4;1
175;22;4;1
176;21;4;1
177;21;4;1
178;22;4;1
179;22;4;1
180;22;4;1
181;22;4;1
182;22;4;1
183;22;4;1
