Time,BZ1,BZ2,BZ3,BZ4,Export
0,0,100,500,250,0
1,0,90,490,260,0
2,0,80,480,270,0
3,0,70,470,280,0
4,0,60,460,290,0
5,0,50,450,300,0
6,0,60,440,290,0
7,0,70,430,280,0
8,0,80,420,270,0
9,0,90,410,260,0
10,0,100,400,250,0
11,0,110,400,240,0
12,0,120,400,230,0
13,0,130,400,220,0
14,0,140,400,210,0
15,0,150,400,200,0
16,0,160,400,190,0
17,0,170,400,180,0
18,0,180,400,170,0
19,0,190,400,160,0
20,0,200,400,150,0
21,0,190,400,140,0
22,0,180,400,130,0
23,0,170,400,120,0
24,0,160,400,110,0
25,0,150,410,100,0
26,0,140,420,110,0
27,0,130,430,120,0
28,0,120,440,130,0
29,0,110,450,140,0
30,0,100,460,150,0
31,0,90,470,160,0
32,0,80,480,170,0
33,0,70,490,180,0
34,0,60,500,190,0
35,0,50,500,200,0
36,0,60,500,210,0
37,0,70,500,220,0
38,0,80,500,230,0
39,0,90,500,240,0
40,0,100,500,250,0
41,0,110,500,260,0
42,0,120,500,270,0
43,0,130,500,280,0
44,0,140,500,290,0
45,0,150,500,300,0
46,0,160,500,310,0
47,0,170,500,320,0
